tourn_name,n_bets,wins,win_rate,roi,avg_odds,avg_edge
Wimbledon,19,6,0.316,0.544,6.54,0.278
Mutua Madrid Open,9,2,0.222,-0.056,4.81,0.389
Los Cabos Open,7,3,0.429,0.664,4.08,0.306
Australian Open,6,1,0.167,-0.167,5.25,0.252
US Open,6,3,0.5,0.717,3.7,0.343
Abierto Mexicano,5,2,0.4,0.65,6.95,0.354
Canadian Open,5,3,0.6,1.08,3.78,0.468
French Open,5,3,0.6,1.466,5.75,0.431
Internazionali BNL d'Italia,5,1,0.2,-0.134,4.28,0.266
Shanghai Masters,5,3,0.6,2.166,6.92,0.424
Barcelona Open,4,0,0,-1,5.56,0.257
Citi Open,4,2,0.5,0.7,3.64,0.265
Vienna Open,4,0,0,-1,4.43,0.367
Grand Prix Hassan II,3,1,0.333,1.333,20.67,0.173
Halle Open,3,2,0.667,1.667,4.11,0.431
Queen's Club Championships,3,1,0.333,0.133,4.47,0.447
Stuttgart Open,3,2,0.667,1.667,3.8,0.316
Western & Southern Financial Group Masters,3,1,0.333,0.443,4.11,0.345
BMW Open,2,1,0.5,0.75,4.25,0.243
Erste Bank Open,2,1,0.5,2,6,0.194
German Tennis Championships,2,0,0,-1,4.25,0.308
Japan Open Tennis Championships,2,1,0.5,0.75,3.45,0.237
Mallorca Championships,2,0,0,-1,3.8,0.269
Monte Carlo Masters,2,0,0,-1,5.2,0.345
Qatar Exxon Mobil Open,2,0,0,-1,3.62,0.229
Serbia Open,2,1,0.5,0.75,3.62,0.19
U.S.Men's Clay Court Championships,2,0,0,-1,3.4,0.307
ASB Classic,1,0,0,-1,4.33,0.427
Argentina Open,1,0,0,-1,6,0.352
Astana Open,1,0,0,-1,4.33,0.155
BB&T Atlanta Open,1,1,1,3,4,0.334
BNP Paribas Masters,1,1,1,4.5,5.5,0.333
BNP Paribas Open,1,0,0,-1,4.33,0.224
China Open,1,0,0,-1,4.5,0.327
Dallas Open,1,0,0,-1,4.5,0.218
Eastbourne International,1,0,0,-1,3.75,0.277
European Open,1,0,0,-1,3.4,0.22
Hangzhou Open,1,0,0,-1,5,0.271
Masters Cup,1,0,0,-1,4.5,0.523
Miami Open,1,0,0,-1,9,0.281
Nordic Open,1,1,1,3.5,4.5,0.174
Open 13,1,1,1,2.75,3.75,0.356
Open de Moselle,1,0,0,-1,5,0.289
Rio Open,1,1,1,4,5,0.203
Srpska Open,1,1,1,3,4,0.255
Suisse Open Gstaad,1,0,0,-1,3.4,0.182
Winston-Salem Open at Wake Forest University,1,0,0,-1,4,0.177
bett1HULKS Championship,1,1,1,2.75,3.75,0.227
